YBL067C	YOL087C
YOR310C	YPR137W
YPR137W	YMR229C
YPR137W	YEL026W
YPR137W	YPL217C
YJL109C	YPR137W
YLR129W	YPR137W
YLR409C	YPR137W
YLR222C	YPR137W
YCR057C	YPR137W
YPR137W	YHR148W
YPR137W	YMR093W
YPR137W	YDL148C
YPR137W	YPL126W
YDL060W	YNL207W
YDR299W	YML093W
YDR299W	YKL099C
YBL004W	YDR299W
YOR310C	YDR299W
YOR310C	YMR290C
YOR310C	YMR049C
YLL011W	YDR299W
YGR090W	YDR299W
YLR409C	YDR299W
YLR222C	YDR299W
YPR144C	YDR299W
YDR299W	YCR057C
YDR299W	YDL148C
YDR299W	YMR229C
YDR299W	YHR148W
YDR299W	YOL010W
YDR299W	YJL069C
YDR299W	YGR145W
YDR299W	YJR002W
YDR299W	YDR324C
YDR299W	YDR398W
YMR229C	YGL171W
YPL093W	YNL061W
YGR103W	YER006W
YKR081C	YKL172W
YKL172W	YOL077C
YNL061W	YPL211W
YOR145C	YDL060W
YDR224C	YOL012C
YDR168W	YMR186W
YJL090C	YHR154W
YDR288W	YLR007W
YAL021C	YNL288W
YNR052C	YNL288W
YNL288W	YPR072W
YNL288W	YIL038C
YHR099W	YDR190C
YHR099W	YPL235W
Q0045	YLR038C
YBL026W	YCR077C
YEL015W	YOL149W
YDR394W	YGR232W
YHR200W	YFR010W
YDL097C	YFR010W
YDL147W	YFR010W
YPR108W	YFR010W
YFR010W	YDR427W
YDL126C	YFL044C
YHR200W	YLL039C
YBL041W	YFR010W
YOL038W	YFR010W
YGL011C	YFR010W
YGR135W	YFR010W
YER094C	YFR010W
YMR314W	YFR010W
YER021W	YFR010W
YDR394W	YFR010W
YIL075C	YFR010W
YFR004W	YFR010W
YOR261C	YFR010W
YOR259C	YFR010W
YGL048C	YFR010W
YHR027C	YFR010W
YDL007W	YFR010W
YER012W	YFR010W
YOR117W	YFR010W
YFR010W	YKL145W
YFR010W	YFR052W
YDL105W	YDR288W
YDL105W	YOL034W
YDR288W	YOL034W
YEL019C	YOL034W
YEL019C	YLR383W
YBL002W	YOL012C
YBL037W	YJR058C
YOL062C	YJR058C
YJR058C	YJR005W
YPR137W	YOL010W
YPR144C	YPR137W
YJR123W	YMR116C
YMR116C	YBL072C
YMR116C	YBR048W
YMR116C	YBR189W
YMR116C	YDL083C
YMR116C	YDR025W
YMR116C	YER074W
YMR116C	YER102W
YMR116C	YGR118W
YMR116C	YGR214W
YMR116C	YHR203C
YMR116C	YIL069C
YMR116C	YJR145C
YMR116C	YLR048W
YMR116C	YLR441C
YMR116C	YML024W
YMR116C	YML063W
YMR116C	YPR132W
YBR247C	YDL060W
YMR116C	YGL123W
YMR116C	YJL191W
YMR116C	YPL081W
YNR046W	YCR047C
YPR137W	YNL075W
YOR063W	YGL030W
YPL131W	YGL030W
YGL030W	YLR075W
YGL030W	YIL133C
YGL030W	YGL031C
YGL030W	YGL076C
YGL030W	YKL180W
YGL030W	YLR448W
YBR135W	YDR328C
YDR404C	YDL140C
YPL240C	YOR057W
YBR257W	YEL026W
YLL041C	YJL045W
YGL191W	YIL111W
YDL140C	YDL108W
YER025W	YDR211W
YER025W	YKR026C
YER025W	YLR291C
YGL123W	YIL133C
YBR079C	YER025W
YER025W	YOR361C
YER025W	YJR007W
YER025W	YPR041W
YOR063W	YFR031C-A
YOR063W	YGL031C
YOR063W	YGL076C
YOR063W	YKL180W
YOR063W	YIL133C
YOR063W	YBR031W
YOR063W	YDR012W
YOR063W	YHL001W
YPL131W	YGL031C
YPL131W	YGL076C
YPL131W	YIL133C
YPL131W	YKL180W
YPL131W	YBR031W
YPL131W	YHL033C
YLR075W	YGL031C
YLR075W	YGL076C
YLR075W	YIL133C
YLR075W	YKL180W
YLR075W	YHL033C
YFR031C-A	YGL076C
YFR031C-A	YDR418W
YFR031C-A	YKL180W
YDR418W	YGL076C
YDR418W	YKL180W
YGL076C	YKL180W
YJR123W	YBL072C
YJR123W	YBR048W
YJR123W	YDL083C
YJR123W	YDR025W
YJR123W	YER074W
YJR123W	YER102W
YJR123W	YHR203C
YJR123W	YIL069C
YJR123W	YJL191W
YJR123W	YML024W
YJR123W	YML063W
YJR123W	YPL081W
YJR123W	YLR441C
YJR123W	YJR145C
YBL072C	YGL123W
YBL072C	YHR203C
YBL072C	YJR145C
YGL123W	YBR048W
YGL123W	YDL083C
YGL123W	YDR025W
YGL123W	YER074W
YGL123W	YER102W
YGL123W	YJR145C
YGL123W	YIL069C
YGL123W	YLR441C
YGL123W	YJL191W
YGL123W	YML024W
YGL123W	YPL081W
YGL123W	YHR203C
YGL123W	YML063W
YBR048W	YJR145C
YBR048W	YHR203C
YBR189W	YJR145C
YBR189W	YHR203C
YDR025W	YJR145C
YDR025W	YHR203C
YLR441C	YHR203C
YLR441C	YJR145C
YPL081W	YHR203C
YPL081W	YJR145C
YHR203C	YER102W
YHR203C	YDL083C
YHR203C	YER074W
YHR203C	YGR118W
YHR203C	YGR214W
YHR203C	YIL069C
YHR203C	YPR132W
YHR203C	YJL191W
YHR203C	YML063W
YHR203C	YLR048W
YHR203C	YML024W
YJR145C	YER102W
YJR145C	YDL083C
YJR145C	YER074W
YJR145C	YGR118W
YJR145C	YGR214W
YJR145C	YIL069C
YJR145C	YJL191W
YJR145C	YLR048W
YJR145C	YML063W
YJR145C	YML024W
YJR145C	YPR132W
YOR065W	YGL191W
YHR051W	YGL191W
YGL191W	YNL052W
YGL191W	YLR038C
YDL126C	YKL213C
YOR259C	YIL007C
YOR117W	YIL007C
YBL041W	YHR200W
YBL041W	YDL097C
YBL041W	YDL147W
YBL041W	YDR427W
YBL041W	YPR108W
YBL041W	YLR421C
YDL097C	YDL007W
YDL007W	YPR108W
YDL007W	YLR421C
YDL007W	YDL147W
YDL007W	YDR363W-A
YBR170C	YGR048W
YDR394W	YDL097C
YDR394W	YDL147W
YDR394W	YDR363W-A
YDR394W	YPR108W
YDR394W	YLR421C
YDR394W	YDR427W
YJL001W	YDL097C
YJL001W	YDL147W
YJL001W	YDR427W
YJL001W	YHR200W
YJL001W	YLR421C
YJL001W	YPR108W
YOL038W	YDL097C
YOL038W	YDL147W
YOL038W	YDR427W
YOL038W	YHR200W
YOL038W	YLR421C
YOL038W	YPR108W
YER021W	YDL097C
YER021W	YDL147W
YER021W	YDR363W-A
YER021W	YDR427W
YER021W	YPR108W
YER021W	YHR200W
YER021W	YLR421C
YDR394W	YHR200W
YFR050C	YDL147W
YFR050C	YHR200W
YFR050C	YLR421C
YFR050C	YPR108W
YML092C	YDL097C
YML092C	YDL147W
YML092C	YDR427W
YML092C	YHR200W
YML092C	YLR421C
YML092C	YPR108W
YOR157C	YDL097C
YOR157C	YDL147W
YOR157C	YDR427W
YOR157C	YHR200W
YOR157C	YLR421C
YOR157C	YPR108W
YGL011C	YDL097C
YGL011C	YDL147W
YGL011C	YDR427W
YGL011C	YPR108W
YGL011C	YHR200W
YIL075C	YDL147W
YIL075C	YPR108W
YFR004W	YDL097C
YFR004W	YDL147W
YFR004W	YDR427W
YFR004W	YPR108W
YFR004W	YLR421C
YFR004W	YHR200W
YPR103W	YDL097C
YPR103W	YDL147W
YPR103W	YHR200W
YPR103W	YPR108W
YPR103W	YDR427W
YPR103W	YLR421C
YHR200W	YDL007W
YHR200W	YDL097C
YHR200W	YDL147W
YHR200W	YDR363W-A
YHR200W	YDR427W
YHR200W	YER012W
YHR200W	YER094C
YHR200W	YFR052W
YHR200W	YGL048C
YHR200W	YGR135W
YHR200W	YGR253C
YHR200W	YOR117W
YHR200W	YMR314W
YHR200W	YPR108W
YHR200W	YOR259C
YHR200W	YOR362C
YHR200W	YOR261C
YHR200W	YKL145W
YOR261C	YDL097C
YOR261C	YDL147W
YOR261C	YDR363W-A
YOR261C	YDR427W
YOR261C	YLR421C
YOR261C	YPR108W
YOR362C	YDL097C
YOR362C	YDL147W
YOR362C	YDR427W
YOR362C	YLR421C
YOR362C	YPR108W
YOR259C	YDL097C
YOR259C	YDL147W
YOR259C	YDR427W
YOR259C	YLR421C
YOR259C	YPR108W
YOR259C	YDR363W-A
YGL048C	YDL097C
YGL048C	YDL147W
YGL048C	YDR427W
YGL048C	YLR421C
YGL048C	YPR108W
YGR135W	YDL097C
YGR135W	YDL147W
YGR135W	YDR427W
YGR135W	YLR421C
YGR135W	YPR108W
YDL097C	YOR117W
YDL097C	YFR052W
YDL097C	YMR314W
YDL097C	YDL147W
YDL097C	YLR421C
YDL097C	YER094C
YDL097C	YHR027C
YDL097C	YGR253C
YDL097C	YER012W
YDL097C	YKL145W
YGR253C	YDL147W
YGR253C	YDR427W
YGR253C	YLR421C
YGR253C	YPR108W
YER094C	YDL147W
YER094C	YDR427W
YER094C	YPR108W
YER094C	YLR421C
YHR027C	YDL147W
YHR027C	YDR363W-A
YHR027C	YDR427W
YHR027C	YPR108W
YER012W	YDL147W
YER012W	YDR427W
YER012W	YPR108W
YER012W	YLR421C
YOR117W	YDL147W
YOR117W	YDR363W-A
YOR117W	YDR427W
YOR117W	YLR421C
YOR117W	YPR108W
YMR314W	YDL147W
YMR314W	YDR427W
YMR314W	YLR421C
YMR314W	YPR108W
YDL147W	YLR421C
YDL147W	YFR052W
YDL147W	YDR363W-A
YDL147W	YPR108W
YDL147W	YDR427W
YDL147W	YKL145W
YPR108W	YDR363W-A
YPR108W	YFR052W
YPR108W	YKL145W
YPR108W	YLR421C
YLR421C	YDR427W
YLR421C	YFR052W
YLR421C	YKL145W
YKL145W	YDR427W
YFR052W	YDR363W-A
YDL126C	YDL190C
YEL037C	YDL190C
YIL075C	YHR200W
YIL075C	YLR421C
YHR200W	YHR027C
YHR027C	YLR421C
YBL041W	YER021W
YER021W	YDL007W
YER021W	YDR394W
YJL001W	YER021W
YOL038W	YER021W
YER021W	YER012W
YER021W	YFR050C
YER021W	YKL145W
YER021W	YGL048C
YER021W	YGR135W
YER021W	YHR027C
YER021W	YER094C
YER021W	YGR253C
YER021W	YPR103W
YER021W	YIL075C
YER021W	YFR004W
YER021W	YOR259C
YER021W	YOR362C
YER021W	YOR261C
YER021W	YOR117W
YER021W	YOR157C
YER021W	YML092C
YER021W	YGL011C
YER021W	YFR052W
YER021W	YMR314W
YOL133W	YJL047C
YHR200W	YEL037C
YHR200W	YLR421C
YBL041W	YDR394W
YBL041W	YIL075C
YBL041W	YFR004W
YBL041W	YOR261C
YBL041W	YOR259C
YBL041W	YGL048C
YBL041W	YHR027C
YBL041W	YDL007W
YBL041W	YOR117W
YBL041W	YKL145W
YBL041W	YFR052W
YJL001W	YDL007W
YJL001W	YDR394W
YOL038W	YDL007W
YOL038W	YDR394W
YDR394W	YGR253C
YDR394W	YER094C
YDR394W	YGR135W
YDR394W	YMR314W
YDR394W	YFR050C
YDR394W	YGL011C
YDR394W	YML092C
YDR394W	YOR157C
YDR394W	YOR362C
YDR394W	YPR103W
YFR050C	YDL007W
YML092C	YDL007W
YOR157C	YDL007W
YGL011C	YDL007W
YPR103W	YDL007W
YOR362C	YDL007W
YGR135W	YDL007W
YGR253C	YDL007W
YER094C	YDL007W
YDL007W	YMR314W
YDR394W	YER012W
YFR004W	YDL007W
YOR261C	YDL007W
YDL007W	YER012W
YBL041W	YOL038W
YBL041W	YGL011C
YBL041W	YOR362C
YBL041W	YGR135W
YBL041W	YGR253C
YBL041W	YMR314W
YDR394W	YFR052W
YDR394W	YOR261C
YDR394W	YFR004W
YBL041W	YJL001W
YBL041W	YFR050C
YBL041W	YML092C
YBL041W	YOR157C
YBL041W	YPR103W
YBL041W	YER094C
YBL041W	YER012W
YJL001W	YFR004W
YJL001W	YGL048C
YJL001W	YHR027C
YJL001W	YIL075C
YJL001W	YOR259C
YJL001W	YOR261C
YJL001W	YOR362C
YJL001W	YML092C
YJL001W	YOR157C
YJL001W	YMR314W
YJL001W	YOR117W
YJL001W	YKL145W
YJL001W	YOL038W
YOL038W	YER012W
YOL038W	YER094C
YOL038W	YFR004W
YOL038W	YFR050C
YOL038W	YFR052W
YOL038W	YGL011C
YOL038W	YGL048C
YOL038W	YGR135W
YOL038W	YGR253C
YOL038W	YHR027C
YOL038W	YIL075C
YOL038W	YKL145W
YOL038W	YML092C
YOL038W	YMR314W
YOL038W	YOR157C
YOL038W	YOR362C
YOL038W	YOR261C
YOL038W	YOR259C
YOL038W	YPR103W
YOL038W	YOR117W
YDR394W	YDL007W
YDR394W	YGL048C
YDR394W	YOR117W
YDR394W	YKL145W
YDR394W	YOR259C
YDR394W	YIL075C
YDR394W	YHR027C
YFR050C	YFR004W
YFR050C	YOR261C
YFR050C	YKL145W
YFR050C	YOR362C
YFR050C	YOR259C
YFR050C	YGL048C
YFR050C	YMR314W
YFR050C	YML092C
YFR050C	YOR157C
YFR050C	YHR027C
YFR050C	YOR117W
YML092C	YER012W
YML092C	YER094C
YML092C	YFR004W
YML092C	YFR052W
YML092C	YGL011C
YML092C	YGL048C
YML092C	YGR135W
YML092C	YGR253C
YML092C	YHR027C
YML092C	YIL075C
YML092C	YKL145W
YML092C	YMR314W
YML092C	YOR157C
YML092C	YOR117W
YML092C	YOR261C
YML092C	YOR362C
YML092C	YOR259C
YML092C	YPR103W
YOR157C	YER012W
YOR157C	YER094C
YOR157C	YFR004W
YOR157C	YFR052W
YOR157C	YGL011C
YOR157C	YGL048C
YOR157C	YGR135W
YOR157C	YGR253C
YOR157C	YHR027C
YOR157C	YIL075C
YOR157C	YKL145W
YOR157C	YMR314W
YOR157C	YOR261C
YOR157C	YOR362C
YOR157C	YOR259C
YOR157C	YPR103W
YOR157C	YOR117W
YGL011C	YFR004W
YGL011C	YHR027C
YGL011C	YMR314W
YGL011C	YOR117W
YGL011C	YKL145W
YGL011C	YOR261C
YGL011C	YOR362C
YGL011C	YOR259C
YGL011C	YIL075C
YGL011C	YGL048C
YIL075C	YDL007W
YIL075C	YER012W
YIL075C	YER094C
YIL075C	YFR004W
YIL075C	YFR052W
YIL075C	YGL048C
YIL075C	YGR135W
YIL075C	YGR253C
YIL075C	YKL145W
YIL075C	YOR117W
YIL075C	YMR314W
YIL075C	YPR103W
YIL075C	YOR259C
YIL075C	YOR261C
YIL075C	YOR362C
YFR004W	YER012W
YFR004W	YER094C
YFR004W	YOR117W
YFR004W	YMR314W
YFR004W	YGR135W
YFR004W	YFR052W
YFR004W	YKL145W
YFR004W	YGL048C
YFR004W	YHR027C
YFR004W	YGR253C
YFR004W	YPR103W
YFR004W	YOR259C
YFR004W	YOR362C
YFR004W	YOR261C
YPR103W	YGL048C
YPR103W	YHR027C
YPR103W	YKL145W
YPR103W	YMR314W
YPR103W	YOR259C
YPR103W	YOR261C
YPR103W	YOR362C
YPR103W	YOR117W
YOR261C	YER012W
YOR261C	YER094C
YOR261C	YFR052W
YOR261C	YGL048C
YOR261C	YGR135W
YOR261C	YGR253C
YOR261C	YHR027C
YOR261C	YKL145W
YOR261C	YMR314W
YOR261C	YOR117W
YOR261C	YOR259C
YOR261C	YOR362C
YOR362C	YER012W
YOR362C	YER094C
YOR362C	YFR052W
YOR362C	YGL048C
YOR362C	YGR135W
YOR362C	YGR253C
YOR362C	YHR027C
YOR362C	YKL145W
YOR362C	YMR314W
YOR362C	YOR117W
YOR362C	YOR259C
YOR259C	YDL007W
YOR259C	YER012W
YOR259C	YER094C
YOR259C	YFR052W
YOR259C	YGL048C
YOR259C	YGR135W
YOR259C	YGR253C
YOR259C	YHR027C
YOR259C	YKL145W
YOR259C	YMR314W
YOR259C	YOR117W
YGL048C	YDL007W
YGL048C	YER012W
YGL048C	YER094C
YGL048C	YFR052W
YGL048C	YGR253C
YGL048C	YHR027C
YGL048C	YGR135W
YGL048C	YOR117W
YGL048C	YMR314W
YGL048C	YKL145W
YGR135W	YOR117W
YGR135W	YMR314W
YGR135W	YHR027C
YGR135W	YKL145W
YGR253C	YHR027C
YGR253C	YOR117W
YGR253C	YMR314W
YGR253C	YKL145W
YER094C	YOR117W
YER094C	YMR314W
YER094C	YHR027C
YER094C	YKL145W
YHR027C	YER012W
YHR027C	YFR052W
YHR027C	YKL145W
YHR027C	YOR117W
YHR027C	YMR314W
YHR027C	YDL007W
YDL007W	YOR117W
YDL007W	YKL145W
YER012W	YMR314W
YER012W	YOR117W
YOR117W	YFR052W
YOR117W	YKL145W
YOR117W	YMR314W
YMR314W	YFR052W
YMR314W	YKL145W
YKL145W	YFR052W
YIL075C	YHR027C
YDL097C	YPR108W
YPR108W	YDR427W
YML121W	YHR186C
YML121W	YBR077C
YGR163W	YML121W
YCL055W	YGL192W
YLR418C	YGL213C
YJL115W	YPL153C
YBR087W	YER173W
YOL094C	YER173W
YNL290W	YER173W
YER172C	YBR065C
YAL032C	YCR063W
YKL173W	YDR163W
YKL173W	YGR278W
YKL173W	YBR065C
YAL032C	YER029C
YLL036C	YLR323C
YDR416W	YPL213W
YKL173W	YCR063W
YGR091W	YPL213W
YER172C	YCR063W
YKL173W	YBR055C
YKL173W	YPR178W
YKL173W	YDR473C
YBL026W	YGR091W
YDR473C	YGR091W
YDR473C	YER172C
YER029C	YGR091W
YPR182W	YGR091W
YOR159C	YGR091W
YPR178W	YGR091W
YLR275W	YGR091W
YBR055C	YGR091W
YBR055C	YER172C
YPR082C	YGR091W
YGR091W	YDR378C
YGR091W	YEL026W
YGR091W	YER146W
YGR091W	YFL017W-A
YGR091W	YOR308C
YER172C	YOR308C
YER172C	YEL026W
YPR182W	YDR243C
YOR159C	YDR243C
YLR275W	YDR243C
YFL017W-A	YDR243C
YKR086W	YMR213W
YMR213W	YNR011C
YLR147C	YLR117C
YGR074W	YLR117C
YPL213W	YML046W
YKL173W	YBL026W
YKL012W	YML046W
YKL173W	YER029C
YKL173W	YFL017W-A
YKL173W	YGR074W
YKL173W	YOR159C
YKL173W	YPR182W
YKL173W	YLR275W
YFL017W-A	YLR117C
YFL017W-A	YLL036C
YKL173W	YIR009W
YAL032C	YMR213W
YGR129W	YKL095W
YMR213W	YKL095W
YDR416W	YMR213W
YMR213W	YLL036C
YMR213W	YLR117C
YLL036C	YDL209C
YAL032C	YGR129W
YGR129W	YKR086W
YGR129W	YDR416W
YGR129W	YLR117C
YDR510W	YPL020C
YBR154C	YDL140C
YBR154C	YIL021W
YPR187W	YDL140C
YPR187W	YIL021W
YDL140C	YIL021W
YDR477W	YDR422C
YGL115W	YDR422C
YER027C	YGL115W
YMR240C	YNR011C
YDR416W	YML049C
YER172C	YMR240C
YHR165C	YNR011C
YGL120C	YLL036C
YAL032C	YGL120C
YHR165C	YER172C
YGL120C	YKL173W
YKL173W	YDR243C
YER172C	YDR243C
YKL173W	YER112W
YAL032C	YHR165C
YDR416W	YHR165C
YKL095W	YLR117C
YKR086W	YLR117C
YDR416W	YLR117C
YDL140C	YER148W
YGR145W	YER127W
YBL004W	YNL132W
YLR197W	YKR060W
YOR310C	YNL132W
YOR310C	YKR060W
YOR310C	YPL217C
YBR247C	YNL132W
YLR186W	YKR060W
YCL031C	YDR324C
YCL031C	YJL069C
YCL031C	YPR144C
YCL031C	YMR229C
YCL031C	YCR057C
YGR090W	YGR145W
YGR090W	YNL132W
YCL059C	YPL217C
YCL059C	YNL132W
YCL059C	YGR145W
YLR409C	YGR145W
YLR409C	YOL010W
YLR409C	YNL132W
YPR144C	YGR145W
YPR144C	YNL132W
YPR144C	YPL217C
YCR057C	YGR145W
YCR057C	YNL132W
YDR449C	YGR145W
YDR449C	YNL132W
YDR324C	YPL217C
YDR324C	YNL132W
YDR324C	YGR145W
YJL069C	YKR060W
YNL075W	YGR145W
YGR145W	YJR002W
YGR145W	YPL217C
YGR145W	YNL132W
YNL132W	YER082C
YNL132W	YPL217C
YPL217C	YER082C
YBL004W	YLR409C
YLR197W	YLR409C
YOR310C	YLR409C
YLL011W	YHR148W
YLL011W	YLR409C
YDL014W	YLR409C
YDL014W	YNL075W
YGR090W	YLR409C
YGR090W	YHR148W
YCL059C	YLR409C
YCL059C	YHR148W
YLR409C	YJR002W
YLR409C	YDR324C
YLR409C	YML093W
YLR409C	YPR144C
YLR409C	YER082C
YLR409C	YKL099C
YPR144C	YNL075W
YHR148W	YDL153C
YHR148W	YDR398W
YHR148W	YJL069C
YDR324C	YNL075W
YDL153C	YNL075W
YNL178W	YKL143W
YBR247C	YKL143W
YCL031C	YGR090W
YLR409C	YJL069C
YHR148W	YJR002W
YNL075W	YJR002W
YDL014W	YPL217C
YOL010W	YPL217C
YOR145C	YLR409C
YLR186W	YLR409C
YLR409C	YEL026W
YHR148W	YMR229C
YJL109C	YPL217C
YLR129W	YPL217C
YLR409C	YPL217C
YLR222C	YPL217C
YCR057C	YPL217C
YDL148C	YPL217C
YNL075W	YPL217C
YJL109C	YHR148W
YJL109C	YLR409C
YJL109C	YNL075W
YLR409C	YMR093W
YLR409C	YDL148C
YLR409C	YHR148W
YLR409C	YOR078W
YLR222C	YNL075W
YCR057C	YHR148W
YCR057C	YNL075W
YDR449C	YHR148W
YDL148C	YHR148W
YHR148W	YPL126W
YLR129W	YLR409C
YLR409C	YCR057C
YLR409C	YDR449C
YLR409C	YLR222C
YHR148W	YNL075W
YHL015W	YDR447C
YHL015W	YNL302C
YHL015W	YLR264W
YHL015W	YOL121C
YHL015W	YML024W
YLR167W	YOL121C
YLR167W	YLR264W
YBL072C	YLR264W
YBL072C	YOL121C
YBL072C	YDR447C
YBL072C	YML024W
YDR064W	YDR447C
YDR064W	YML024W
YDR064W	YLR264W
YDR064W	YOL121C
YDR064W	YNL302C
YBR048W	YNL302C
YBR048W	YOL121C
YBR048W	YLR264W
YBR181C	YDR447C
YBR181C	YML024W
YBR181C	YLR264W
YBR181C	YOL121C
YBR181C	YNL302C
YBR189W	YOL121C
YBR189W	YLR264W
YBR189W	YML024W
YBR189W	YDR447C
YMR143W	YDR447C
YMR143W	YLR264W
YMR143W	YML024W
YMR143W	YNL302C
YMR143W	YOL121C
YDR025W	YNL302C
YDR025W	YOL121C
YDR025W	YLR264W
YPL090C	YDR447C
YPL090C	YLR264W
YPL090C	YML024W
YPL090C	YNL302C
YPL090C	YOL121C
YLR441C	YDR447C
YLR441C	YLR264W
YLR441C	YML024W
YLR441C	YOL121C
YLR441C	YNL302C
YPL081W	YDR447C
YPL081W	YLR264W
YPL081W	YML024W
YPL081W	YNL302C
YPL081W	YOL121C
YCR031C	YLR264W
YCR031C	YOL121C
YCR031C	YNL302C
YER102W	YDR447C
YER102W	YLR264W
YER102W	YOL121C
YER102W	YML024W
YDL083C	YOL121C
YDL083C	YLR264W
YDL083C	YML024W
YDL083C	YDR447C
YDL083C	YNL302C
YDR447C	YPR132W
YDR447C	YNL302C
YDR447C	YER074W
YDR447C	YIL069C
YDR447C	YGR118W
YDR447C	YKR057W
YDR447C	YOL121C
YDR447C	YLR264W
YDR447C	YDR450W
YDR447C	YML063W
YDR447C	YML026C
YML024W	YDR450W
YML024W	YER074W
YML024W	YGR118W
YML024W	YIL069C
YML024W	YKR057W
YML024W	YLR264W
YML024W	YML026C
YML024W	YOL121C
YML024W	YML063W
YML024W	YPR132W
YML024W	YNL302C
YGR118W	YLR264W
YGR118W	YOL121C
YGR118W	YNL302C
YLR264W	YJL191W
YLR264W	YER074W
YLR264W	YHR021C
YLR264W	YIL069C
YLR264W	YKL156W
YLR264W	YKR057W
YLR264W	YML063W
YLR264W	YPR132W
YOL121C	YER074W
YOL121C	YIL069C
YOL121C	YJL191W
YOL121C	YKL156W
YOL121C	YKR057W
YOL121C	YML063W
YOL121C	YPR132W
YKR057W	YNL302C
YJL191W	YNL302C
YKL156W	YNL302C
YPR132W	YNL302C
YNL302C	YER074W
YNL302C	YIL069C
YKR054C	YDR424C
YAL002W	YDR495C
YDR075W	YNL201C
YDR337W	YJL063C
YBR146W	YHL004W
YBR146W	YDR175C
YBR146W	YBR251W
YBR146W	YER050C
YBR146W	YPL013C
YBR146W	YDR337W
YBR146W	YJR113C
YBR146W	YGR215W
YBR146W	YDL045W-A
YBR146W	YNR037C
YBR146W	YGL129C
YBR146W	YKL003C
YBR146W	YPR166C
YBR146W	YNR036C
YBR146W	YDR041W
YHL004W	YBR251W
YHL004W	YDR041W
YHL004W	YDR175C
YHL004W	YDR337W
YHL004W	YER050C
YHL004W	YGL129C
YHL004W	YNR036C
YHL004W	YPR166C
YHL004W	YPL013C
YHL004W	YJR113C
YHL004W	YKL003C
YHL004W	YGR215W
YDR175C	YBR251W
YDR175C	YDR041W
YDR175C	YGL129C
YDR175C	YKL003C
YDR175C	YPR166C
YDR175C	YNR036C
YDR175C	YER050C
YDR175C	YPL013C
YDR175C	YJR113C
YDR175C	YDR337W
YBR251W	YGL129C
YBR251W	YKL003C
YBR251W	YGR215W
YBR251W	YDR041W
YBR251W	YPL013C
YBR251W	YJR113C
YBR251W	YDR337W
YBR251W	YNR037C
YBR251W	YPR166C
YBR251W	YDL045W-A
YBR251W	YER050C
YBR251W	YNR036C
YBR251W	YBL090W
YBR251W	YJR101W
YBR251W	YNL306W
YBR251W	YGR165W
YBR251W	YNL137C
YER050C	YDL045W-A
YER050C	YDR041W
YER050C	YDR337W
YER050C	YPL013C
YER050C	YJR113C
YER050C	YNR037C
YER050C	YKL003C
YER050C	YPR166C
YER050C	YGL129C
YER050C	YGR215W
YER050C	YNR036C
YPL013C	YDL045W-A
YPL013C	YDR041W
YPL013C	YDR337W
YPL013C	YGL129C
YPL013C	YGR215W
YPL013C	YJR113C
YPL013C	YKL003C
YPL013C	YNR037C
YPL013C	YPR166C
YPL013C	YNR036C
YPL013C	YMR158W
YDR337W	YDL045W-A
YDR337W	YDR041W
YDR337W	YJR113C
YDR337W	YKL003C
YDR337W	YGL129C
YDR337W	YGR215W
YDR337W	YPR166C
YDR337W	YNR037C
YDR337W	YNR036C
YJR113C	YGL129C
YJR113C	YKL003C
YJR113C	YPR166C
YGR215W	YDL045W-A
YGR215W	YGL129C
YGR215W	YNR037C
YGR215W	YKL003C
YGR215W	YPR166C
YDL045W-A	YGL129C
YDL045W-A	YPR166C
YDL045W-A	YKL003C
YDL045W-A	YNR037C
YNR037C	YGL129C
YNR037C	YKL003C
YNR037C	YPR166C
YGL129C	YDR041W
YGL129C	YMR188C
YGL129C	YKL003C
YGL129C	YPR166C
YGL129C	YNR036C
YKL003C	YDR041W
YKL003C	YPR166C
YKL003C	YNR036C
YPR166C	YDR041W
YPR166C	YNR036C
YBL038W	YDR462W
YBL038W	YML025C
YBL038W	YOR150W
YBL038W	YCR046C
YBL038W	YNL284C
YBL038W	YMR024W
YBL038W	YJL063C
YBL038W	YNL005C
YBL038W	YPR100W
YDR462W	YCR046C
YDR462W	YNL252C
YDR462W	YNL284C
YML025C	YCR046C
YML025C	YJL063C
YML025C	YNL252C
YOR150W	YCR046C
YOR150W	YNL284C
YCR046C	YBR282W
YCR046C	YCR003W
YCR046C	YNL284C
YCR046C	YNL252C
YCR046C	YMR024W
YCR046C	YNL177C
YCR046C	YDR405W
YCR046C	YCR071C
YCR046C	YPR100W
YCR046C	YPL183W-A
YCR046C	YNL005C
YCR046C	YJL063C
YCR046C	YMR193W
YCR046C	YML009C
YNL284C	YBR282W
YNL284C	YCR071C
YNL284C	YML009C
YNL284C	YMR024W
YNL284C	YNL005C
YNL284C	YNL252C
YNL252C	YNL005C
YMR024W	YDR405W
YGR165W	YNL137C
YJL001W	YER094C
YJL001W	YFR050C
YJL001W	YFR052W
YJL001W	YGL011C
YJL001W	YGR135W
YJL001W	YPR103W
YFR050C	YER012W
YFR050C	YER094C
YFR050C	YPR103W
YFR050C	YGR135W
YFR050C	YFR052W
YFR050C	YGR253C
YFR050C	YGL011C
YGL011C	YER012W
YGL011C	YER094C
YGL011C	YFR052W
YGL011C	YGR253C
YGL011C	YGR135W
YGL011C	YPR103W
YPR103W	YER012W
YPR103W	YER094C
